placeID,parking_lot
135111,public
135110,none
135109,none
135108,none
135107,none
135106,none
135105,none
135104,yes
135103,valet parking
135102,valet parking
135101,public
135100,none
135099,valet parking
135098,valet parking
135097,yes
135094,public
135093,yes
135092,none
135091,fee
135090,public
135089,yes
135088,public
135086,yes
135085,public
135084,yes
135082,none
135081,none
135080,none
135079,none
135078,yes
135077,yes
135076,yes
135075,yes
135074,public
135073,yes
135072,none
135071,yes
135070,yes
135069,yes
135068,yes
135067,none
135066,yes
135065,none
135064,yes
135063,none
135062,yes
135061,yes
135060,none
135059,yes
135058,public
135057,yes
135056,none
135055,yes
135054,yes
135053,yes
135052,none
135051,none
135050,yes
135049,none
135048,yes
135047,yes
135046,yes
135045,yes
135044,none
135043,none
135042,none
135041,none
135040,yes
135039,yes
135038,none
135037,yes
135036,yes
135035,yes
135034,none
135033,none
135032,public
135031,yes
135030,none
135029,none
135028,none
135027,none
135026,none
135025,none
135024,yes
135023,none
135022,none
135021,public
135020,yes
135019,none
135018,yes
135017,none
135016,none
135015,none
135014,none
135013,none
135012,none
135011,none
135010,none
135009,none
135008,yes
135007,none
135006,yes
135005,none
135004,none
135003,yes
135002,none
135001,yes
135000,none
134999,none
134998,yes
134997,none
134996,yes
134995,none
134994,none
134993,none
134992,yes
134991,yes
134990,yes
134989,yes
134988,valet parking
134987,none
134986,yes
134985,yes
134984,yes
134983,yes
134982,none
134981,none
134980,none
134979,none
134978,yes
134977,yes
134976,yes
134975,valet parking
134974,yes
134973,none
134972,none
134971,yes
134970,yes
133049,yes
133048,yes
133047,yes
133043,yes
133042,none
133041,none
133040,none
133039,none
133038,none
133037,none
133036,none
133035,public
133034,none
133033,none
133032,none
133031,none
133030,none
133029,yes
133028,none
133027,none
133026,none
133025,none
133024,none
133023,none
133022,none
133021,none
133020,none
133019,none
133018,none
133017,none
133016,none
133015,none
133014,public
133013,none
133012,none
133011,none
133010,yes
133009,yes
133008,yes
133007,none
133006,none
133005,none
133004,none
133003,none
133002,none
133001,none
133000,none
132999,none
132998,none
132997,public
132996,none
132995,none
132994,none
132993,none
132992,none
132986,none
132985,none
132984,none
132983,none
132982,none
132981,none
132980,none
132979,none
132978,none
132977,none
132976,none
132975,none
132974,none
132973,none
132972,none
132971,none
132970,none
132969,public
132968,yes
132967,public
132966,public
132965,public
132964,none
132963,none
132962,none
132961,none
132960,yes
132959,none
132958,none
132957,none
132956,none
132955,none
132954,yes
132953,yes
132951,yes
132950,none
132948,none
132947,none
132946,public
132945,none
132944,none
132943,public
132942,none
132941,none
132940,none
132939,none
132938,none
132937,none
132936,none
132935,none
132934,none
132933,none
132932,public
132931,none
132930,none
132929,public
132928,none
132927,none
132926,none
132925,none
132924,none
132923,none
132922,none
132921,none
132920,none
132919,none
132918,none
132917,none
132916,none
132915,none
132914,none
132913,none
132912,none
132911,none
132910,none
132909,public
132908,none
132907,none
132906,none
132905,none
132904,none
132903,none
132902,none
132901,none
132900,public
132899,none
132898,none
132897,none
132896,none
132895,none
132894,none
132893,none
132892,yes
132891,none
132890,none
132889,none
132888,yes
132887,valet parking
132886,none
132885,public
132884,none
132883,none
132882,none
132881,none
132880,yes
132879,none
132878,none
132877,none
132876,none
132875,valet parking
132874,none
132873,none
132872,public
132871,public
132870,none
132869,yes
132868,public
132867,yes
132866,yes
132865,yes
132864,public
132863,yes
132862,valet parking
132861,yes
132860,yes
132859,yes
132858,none
132857,none
132856,none
132855,none
132854,yes
132853,none
132852,public
132851,yes
132850,yes
132849,none
132848,none
132847,none
132846,none
132845,none
132844,none
132843,public
132842,none
132841,none
132840,none
132839,none
132838,none
132837,none
132836,none
132835,yes
132834,public
132833,none
132832,none
132831,none
132830,none
132829,none
132828,yes
132827,none
132826,public
132825,none
132824,yes
132823,none
132822,none
132821,yes
132820,fee
132819,yes
132818,fee
132817,fee
132816,none
132815,yes
132813,none
132812,none
132811,yes
132810,none
132809,none
132808,public
132807,yes
132806,yes
132805,yes
132804,yes
132803,none
132802,none
132801,yes
132799,fee
132798,fee
132797,yes
132796,yes
132795,none
132794,none
132793,valet parking
132792,valet parking
132791,valet parking
132790,valet parking
132789,valet parking
132788,yes
132787,yes
132786,valet parking
132785,public
132784,valet parking
132783,valet parking
132782,yes
132781,public
132780,public
132779,public
132778,none
132777,public
132776,none
132775,none
132774,yes
132773,none
132772,public
132771,yes
132770,yes
132769,none
132768,none
132767,yes
132766,yes
132765,none
132764,public
132763,public
132762,none
132761,public
132760,none
132759,none
132758,none
132757,none
132756,fee
132755,public
132754,none
132753,public
132752,none
132751,yes
132750,yes
132749,none
132748,none
132747,yes
132746,public
132745,yes
132744,none
132743,none
132742,none
132741,public
132740,none
132739,public
132738,public
132737,public
132736,yes
132735,public
132734,none
132733,yes
132732,none
132731,none
132730,none
132729,none
132728,yes
132727,yes
132726,yes
132725,none
132724,yes
132723,public
132722,public
132721,none
132720,none
132719,none
132718,none
132717,public
132716,none
132715,none
132714,none
132713,none
132712,public
132711,public
132710,public
132709,public
132708,none
132707,public
132706,public
132705,public
132704,public
132703,none
132702,public
132701,public
132700,yes
132699,yes
132698,public
132697,yes
132696,public
132695,yes
132694,none
132693,yes
132692,yes
132691,yes
132690,none
132689,yes
132688,none
132687,yes
132686,yes
132685,yes
132684,yes
132683,yes
132682,yes
132681,public
132680,public
132679,none
132678,none
132677,none
132676,none
132675,none
132674,none
132673,none
132672,none
132671,none
132670,none
132669,none
132668,none
132667,none
132666,none
132665,none
132664,none
132663,none
132662,none
132661,none
132660,none
132659,none
132658,yes
132657,none
132656,none
132655,yes
132654,none
132653,yes
132652,none
132651,none
132650,yes
132649,none
132648,none
132647,none
132646,none
132645,yes
132644,none
132643,none
132642,none
132641,none
132640,yes
132639,none
132638,yes
132637,none
132636,yes
132635,valet parking
132634,none
132633,none
132632,none
132631,none
132630,none
132629,yes
132628,none
132626,yes
132625,yes
132624,yes
132623,none
132622,yes
132621,none
132620,public
132619,yes
132618,public
132617,yes
132616,yes
132615,none
132614,none
132613,yes
132612,yes
132611,yes
132610,yes
132609,yes
132608,public
132607,none
132606,none
132605,public
132604,none
132603,yes
132602,public
132601,public
132600,public
132599,public
132598,yes
132597,public
132596,none
132595,none
132594,public
132593,public
132592,none
132591,none
132590,yes
132589,yes
132588,public
132587,public
132586,yes
132585,yes
132584,yes
132583,none
132582,yes
132581,none
132580,none
132579,none
132578,none
132577,none
132576,none
132575,yes
132574,yes
132573,none
132572,yes
132571,none
132570,none
132569,none
132568,none
132567,none
132566,none
132565,none
132564,none
132563,none
132562,none
132561,none
132560,public
132557,public
132557,street
132545,street
132535,street
132531,public
132531,street
132530,fee
132530,public
132527,street
132521,fee
132521,public
132491,public
132491,street
132487,yes
132484,yes
132483,fee
132483,public
132482,yes
132481,fee
132481,street
132479,street
132478,none
132478,fee
132468,none
132449,public
132449,street
132443,street
132442,street
132439,street
132437,fee
132436,street
132409,public
132409,street
132399,fee
132399,public
132396,fee
132396,public
132392,street
132377,street
132355,fee
132355,street
132333,validated parking
132326,yes
132326,public
132302,yes
132297,public
132297,street
132296,street
132292,public
132292,street
132289,valet parking
132289,validated parking
132281,public
132281,street
132243,valet parking
132243,validated parking
132243,public
132237,yes
132231,street
132220,fee
132207,street
132206,fee
132204,public
132204,street
132184,valet parking
132184,street
132182,yes
132177,yes
132164,fee
132161,street
132160,street
132159,street
132157,yes
132155,fee
132155,public
132111,yes
132111,public
132107,public
132031,yes
132031,street
132030,street
132026,fee
132024,street
132023,fee
132023,public
132012,public
132012,street
